 Fly.line;Red light I;Elevator I;Dark I;Red light II;Elevator II ;Dark II 
"NorpA; NP47>Chrimson (ATR)";9;3;6;7;4;6
"NorpA; NP47>Chrimson (ATR)";8;3;8;8;6;5
"NorpA; MZ19>Chrimson (ATR)";15;2;10;11;6;10
"NorpA; MZ19>Chrimson (ATR)";15;8;7;17;5;8
"NorpA; THC1>Chrimson (ATR)";9;8;13;10;6;9
"NorpA;THD1 >Chrimson (ATR)";14;5;8;14;5;8
"NorpA;THD1 >Chrimson (ATR)";15;6;9;14;7;9
"NorpA; TH>Chrimson (ATR)";12;2;12;10;5;10
"NorpA; TH>Chrimson (ATR)";7;5;14;12;4;10
"NorpA; THG1>Chrimson (ATR)";14;7;9;15;6;9
"NorpA; THF2>Chrimson (ATR)";15;6;8;11;12;4
"NorpA; THF1>Chrimson (ATR)";14;8;7;15;7;8
"NorpA; THC1>Chrimson (ATR)";14;7;9;16;4;11
"NorpA; Gr66a>Chrimson (ATR)";2;3;10;8;2;4
"NorpA; Gr66a>Chrimson (Co)";7;3;5;5;3;6
"NorpA; Gr66a>Chrimson (ATR)";4;5;5;1;2;9
"NorpA; Gr66a>Chrimson (Co)";3;8;5;10;4;2
"NorpA; Gr66a>Chrimson (ATR)";4;3;7;5;6;3
"NorpA; Gr66a>Chrimson (Co)";8;2;10;7;6;6
"NorpA; 58E02>Chrimson (ATR)";9;3;15;6;4;15
"NorpA; 58E02>Chrimson (ATR)";2;4;22;7;6;15
"NorpA; NP1528>Chrimson (ATR)";18;4;7;12;6;8
"NorpA; NP1528>Chrimson (ATR)";14;3;13;12;8;10
"NorpA; DDC>Chrimson (ATR)";2;7;4;6;3;5
"NorpA; HL9>Chrimson (ATR)";3;7;1;4;5;1
"NorpA; MZ19>Chrimson (ATR)";10;3;17;14;3;12
"NorpA; MZ19>Chrimson (ATR)";18;5;7;11;7;12
"NorpA; THC`>Chrimson (ATR)";16;4;10;13;7;10
"NorpA; THC`>Chrimson (ATR)";13;4;13;13;4;12
"NorpA; THC`>Chrimson (ATR)";13;5;11;13;7;9
"NorpA; THC1>Chrimson (ATR)";11;11;8;8;11;9
"NorpA; THF2>Chrimson (ATR)";5;8;17;9;4;16
"NorpA; HL9>Chrimson (ATR)";12;5;10;13;4;10
"NorpA; NP5272>Chrimson (ATR)";11;3;14;15;4;10
"NorpA; C259>Chrimson (ATR)";7;3;19;6;4;19
"NorpA; MZ840>Chrimson (ATR)";9;2;16;10;5;12
"NorpA; THG1>Chrimson (ATR)";15;6;10;6;8;17
"NorpA; THF1>Chrimson (ATR)";5;10;13;13;5;9
"NorpA;THF3 >Chrimson (ATR)";13;7;10;11;5;15
"NorpA; TH>Chrimson (ATR)";9;9;10;12;8;8
"NorpA; MZ19>Chrimson (ATR)";13;3;14;10;14;6
"NorpA; 58E02>Chrimson (ATR)";8;2;18;6;8;13
"NorpA; Gr66a>Chrimson (Co)";15;10;6;7;8;17
"NorpA; Gr66a>Chrimson (ATR)";6;9;13;1;11;16
"NorpA; 5HTrIB>Chrimson (ATR)";11;7;10;9;9;9
"NorpA;THD1 >Chrimson (ATR)";20;4;5;12;5;10
"NorpA; DDC>Chrimson (ATR)";9;11;8;3;11;14
